agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect2m_rbd|nalu_mate2m_rbd|prom_lect2m_rbd|prom_mate2m_rbd|dif_lect2m_rbd|dif_mate2m_rbd|difgru_lect2m_rbd|difgru_mate2m_rbd|sigdif_lect2m_rbd|sigdif_mate2m_rbd|siggru_lect2m_rbd|siggru_mate2m_rbd|marca_lect2m_rbd|marca_mate2m_rbd|marcadif_lect2m_rbd|marcadif_mate2m_rbd|palu_eda_ins_lect2m_rbd|palu_eda_ele_lect2m_rbd|palu_eda_ade_lect2m_rbd|palu_eda_ins_mate2m_rbd|palu_eda_ele_mate2m_rbd|palu_eda_ade_mate2m_rbd|noaplica|fecha_bbdd|codigo_bbdd
2022|2m|578|9|LICEO BICENTENARIO DE EXCELENCIA IGNACIO CARRERA PINTO|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|1|1|2|1|51|54|224|223|0|13|-10|-15|0|0|-1|-1|||||74.5|17.6|7.8|72.2|20.4|7.4|0|20231017|final20231017v2
2022|2m|579|7|COLEGIO SEMINARIO CONCILIAR|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|3|1|110|107|253|250|-13|-41|2|-8|-1|-1|0|-1|||||43.6|31.8|24.5|50.5|40.2|9.3|0|20231017|final20231017v2
2022|2m|580|0|COLEGIO GERONIMO RENDIC|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|4|3|5|1|97|96|283|307|0|-43|4|-9|0|-1|0|-1|||||23.7|30.9|45.4|16.7|43.8|39.6|0|20231017|final20231017v2
2022|2m|5806|8|ESCUELA PARTICULAR DAVID RIADI MATUS|9|DE LA ARAUCANÍA|91|CAUTÍN|9112|PADRE LAS CASAS|93|Cautin S|3|2|1|2|2|3|224|184|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|2m|5808|4|COLEGIO DE LA SALLE|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|4|3|5|1|42|47|288|312|-16|-42|9|-4|0|-1|1|0|||||21.4|35.7|42.9|4.3|55.3|40.4|0|20231017|final20231017v2
2022|2m|581|9|ESCUELA EXPERIMENTAL DE MUSICA JORGE PEÑA HEN|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|4|1|45|47|235|260|-29|-46|-27|-18|-1|-1|-1|-1|||||55.6|28.9|15.6|44.7|42.6|12.8|0|20231017|final20231017v2
2022|2m|5810|6|COLEGIO BAUTISTA|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|4|3|5|1|66|66|272|315|-3|-4|-7|-1|0|0|-1|0|||||25.8|34.8|39.4|19.7|27.3|53|0|20231017|final20231017v2
2022|2m|5812|2|COLEGIO ALEMAN|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|4|3|5|1|59|58|296|327|12|-10|17|11|0|0|1|1|||||15.3|23.7|61|6.9|36.2|56.9|0|20231017|final20231017v2
2022|2m|5813|0|COLEGIO CENTENARIO|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|5|1|58|56|291|328|5|-20|12|12|0|-1|1|1|||||13.8|34.5|51.7|8.9|33.9|57.1|0|20231017|final20231017v2
2022|2m|5814|9|COLEGIO SANTA CRUZ|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|4|1|77|85|238|246|-41|-46|-24|-32|-1|-1|-1|-1|||||50.6|22.1|27.3|57.6|30.6|11.8|0|20231017|final20231017v2
2022|2m|5816|5|COLEGIO METODISTA|9|DE LA ARAUCANÍA|91|CAUTÍN|9101|TEMUCO|92|Cautin N|3|2|4|1|54|57|239|249|-18|-17|-23|-29|-1|-1|-1|-1|||||55.6|31.5|13|54.4|40.4|5.3|0|20231017|final20231017v2
2022|2m|582|7|COLEGIO ANDRES BELLO|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|4|3|4|1|39|38|271|309|-8|-17|9|31|0|-1|1|1|||||25.6|43.6|30.8|21.1|28.9|50|0|20231017|final20231017v2
2022|2m|5823|8|LICEO H-C JORGE TEILLIER SANDOVAL|9|DE LA ARAUCANÍA|91|CAUTÍN|9108|LAUTARO|92|Cautin N|2|1|2|1|161|159|226|231|-6|-6|-8|-7|0|0|-1|-1|||||66.5|23.6|9.9|69.8|24.5|5.7|0|20231017|final20231017v2
2022|2m|583|5|COLEGIO SAGRADOS CORAZONES|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|4|1|59|58|274|283|-5|-45|12|5|0|-1|1|0|||||32.2|28.8|39|32.8|43.1|24.1|0|20231017|final20231017v2
2022|2m|585|1|COLEGIO THE INTERNATIONAL SCHOOL|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|4|3|5|1|38|43|263|293|-1|-52|-16|-23|0|-1|-1|-1|||||39.5|39.5|21.1|27.9|32.6|39.5|0|20231017|final20231017v2
2022|2m|587|8|COLEGIO SERENA|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|4|3|5|1|11|13|319|324|27|-19|40|8|1|0|1|0|||||0|9.1|90.9|0|38.5|61.5|0|20231017|final20231017v2
2022|2m|5879|3|LICEO ISABEL POBLETE V.|9|DE LA ARAUCANÍA|91|CAUTÍN|9113|PERQUENCO|92|Cautin N|2|1|1|1|59|63|241|232|6|-4|19|8|0|0|1|0|||||54.2|35.6|10.2|66.7|27|6.3|0|20231017|final20231017v2
2022|2m|589|4|COLEGIO SANTO DOMINGO|4|DE COQUIMBO|41|ELQUI|4101|LA SERENA|41|Elqui|3|2|4|1|21|22|267|298|-9|-22|5|20|0|-1|0|1|||||28.6|33.3|38.1|31.8|22.7|45.5|0|20231017|final20231017v2
2022|2m|5897|1|COLEGIO AMERICA|9|DE LA ARAUCANÍA|91|CAUTÍN|9119|VILCÚN|92|Cautin N|2|1|1|1|46|45|251|259|0|-20|29|35|0|-1|1|1|||||43.5|34.8|21.7|46.7|37.8|15.6|0|20231017|final20231017v2
2022|2m|59|0|COLEGIO SAN JORGE|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|4|3|5|1|29|29|243|260|-21|-25|-36|-56|-1|-1|-1|-1|||||41.4|48.3|10.3|37.9|55.2|6.9|0|20231017|final20231017v2
